column,dtype,missing,unique
Candidate_ID,object,0,2000
Age,int64,0,14
Gender,object,0,3
Education_Level,object,0,3
Position_Applied,object,0,4
Industry,object,0,5
Interview_Round,object,0,4
Interview_Mode,object,0,4
Start_Time,object,0,5
End_Time,object,0,5
Duration_Minutes,int64,0,40
Camera_On,object,0,2
Microphone_Clarity,object,0,3
Network_Stability_Score,float64,0,877
Technical_Questions_Answered,int64,0,10
Behavioral_Questions_Answered,int64,0,5
Coding_Test_Score,int64,0,100
Eye_Contact_Score,int64,0,9
Body_Language_Score,int64,0,9
Speech_Speed_WPM,int64,0,70
Filler_Words_Used,int64,0,20
Confidence_Score,int64,0,9
Response_Relevance_Score,int64,0,9
Interviewer_Rating,float64,0,396
Background_Noise_Level,object,0,3
Follow_Up_Questions_Asked,int64,0,3
Dressing_Appropriateness,object,0,3
Time_Management_Score,int64,0,9
Final_Recommendation,object,0,3
Offer_Extended,object,0,2
Performance_Score_Proxy,float64,0,1002
Performance_Category,object,0,3
